"filename", "language", "JavaScript", "CSS", "XML", "JSON", "Markdown", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Homepage\VideoPlayerModal.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 3, 60
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Homepage\VideoUploadModal.js", "JavaScript", 142, 0, 0, 0, 0, 0, 0, 4, 7, 153
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Homepage\YourFeed.js", "JavaScript", 451, 0, 0, 0, 0, 0, 0, 5, 12, 468
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Layout.js", "JavaScript", 168, 0, 0, 0, 0, 0, 0, 17, 17, 202
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Login\LoginGooglePass.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 3, 10, 75
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Login\LoginPage.js", "JavaScript", 106, 0, 0, 0, 0, 0, 0, 3, 8, 117
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Navbar\Icons\IconsExport.js", "JavaScript", 190, 0, 0, 0, 0, 0, 0, 0, 11, 201
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Navbar\Navbar.js", "JavaScript", 260, 0, 0, 0, 0, 0, 0, 3, 8, 271
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Navbar\NavbarMobile.js", "JavaScript", 406, 0, 0, 0, 0, 0, 0, 10, 13, 429
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Register\RegisterGooglePass.js", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 4, 9, 101
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Register\RegisterPagePartTwo.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 4, 8, 142
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Search\Search.js", "JavaScript", 302, 0, 0, 0, 0, 0, 0, 6, 17, 325
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\Search\SearchResults.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 2, 5, 68
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Customer\AddToCart.js", "JavaScript", 242, 0, 0, 0, 0, 0, 0, 8, 14, 264
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Customer\Profile\ProfileSubpages\ManageFollowers.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 4, 10, 144
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Customer\Profile\ProfileSubpages\OrderHistory.js", "JavaScript", 271, 0, 0, 0, 0, 0, 0, 3, 12, 286
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Customer\Profile\ProfileSubpages\OrderHistoryModal.js", "JavaScript", 180, 0, 0, 0, 0, 0, 0, 3, 7, 190
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Customer\Profile\ProfileSubpages\Profile.js", "JavaScript", 151, 0, 0, 0, 0, 0, 0, 4, 9, 164
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Customer\Profile\ProfileSubpages\ShippingDetails.js", "JavaScript", 100, 0, 0, 0, 0, 0, 0, 3, 6, 109
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Customer\Profile\UserMenu.js", "JavaScript", 131, 0, 0, 0, 0, 0, 0, 2, 4, 137
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Dashboard\StoreDasboardNavMobile.js", "JavaScript", 142, 0, 0, 0, 0, 0, 0, 2, 5, 149
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Dashboard\StoreDashboard.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 3, 6, 57
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Dashboard\StoreDashboardNav.js", "JavaScript", 163, 0, 0, 0, 0, 0, 0, 2, 5, 170
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Dashboard\StoreEdit\Modals\StoreDeleteProductModal.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 4, 7, 66
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Dashboard\StoreEdit\Modals\StoreSavedModal.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 3, 6, 41
