"filename", "language", "JavaScript", "CSS", "XML", "Markdown", "JSON", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Customer\Profile\ProfileSubpages\OrderHistory.js", "JavaScript", 244, 0, 0, 0, 0, 0, 0, 0, 10, 254
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Customer\Profile\ProfileSubpages\OrderHistoryModal.js", "JavaScript", 158, 0, 0, 0, 0, 0, 0, 0, 7, 165
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Customer\Profile\ProfileSubpages\Profile.js", "JavaScript", 119, 0, 0, 0, 0, 0, 0, 0, 8, 127
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Customer\Profile\ProfileSubpages\ShippingDetails.js", "JavaScript", 105, 0, 0, 0, 0, 0, 0, 0, 7, 112
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Customer\Profile\UserMenu.js", "JavaScript", 131, 0, 0, 0, 0, 0, 0, 0, 2, 133
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Dashboard\StoreDasboardNavMobile.js", "JavaScript", 125, 0, 0, 0, 0, 0, 0, 0, 5, 130
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Dashboard\StoreDashboard.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Dashboard\StoreDashboardNav.js", "JavaScript", 166, 0, 0, 0, 0, 0, 0, 0, 6, 172
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Dashboard\StoreEdit\Modals\StoreDeleteProductModal.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 5, 61
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Dashboard\StoreEdit\Modals\StoreSavedModal.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 4, 38
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Dashboard\StoreEdit\StoreEdit.js", "JavaScript", 126, 0, 0, 0, 0, 0, 0, 17, 11, 154
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Dashboard\StoreEdit\StoreEditInfo.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 2, 6, 89
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Dashboard\StoreEdit\StoreEditInfoInputs.js", "JavaScript", 140, 0, 0, 0, 0, 0, 0, 2, 7, 149
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Dashboard\StoreFinance\StoreFinance.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 4, 38
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Dashboard\StoreFinance\StoreFinanceLast5Sales.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 0, 5, 88
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Dashboard\StoreFinance\StoreFinanceSales.js", "JavaScript", 104, 0, 0, 0, 0, 0, 0, 1, 9, 114
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Dashboard\StoreOrders\StoreOrders.js", "JavaScript", 203, 0, 0, 0, 0, 0, 0, 5, 10, 218
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Dashboard\StoreOrders\StoreOrdersModal.js", "JavaScript", 160, 0, 0, 0, 0, 0, 0, 0, 8, 168
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Dashboard\StoreYourProducts\Modals\AddCollectionModal\Add.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 4, 38
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Dashboard\StoreYourProducts\Modals\AddCollectionModal\AddCollectionModal.js", "JavaScript", 189, 0, 0, 0, 0, 0, 0, 1, 6, 196
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Dashboard\StoreYourProducts\Modals\AddProductModal\AddProductInputs.js", "JavaScript", 230, 0, 0, 0, 0, 0, 0, 3, 10, 243
